Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.6999969482422
Afghanistan,AFG,Electricity net consumption,CC.ELEC.CON,5.91309
Afghanistan,AFG,Electricity net generation,CC.ELEC.GEN,1.06269
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,Electricity net consumption,CC.ELEC.CON,6.52798
Albania,ALB,Electricity net generation,CC.ELEC.GEN,5.17594
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5
Algeria,DZA,Electricity net consumption,CC.ELEC.CON,66.646
Algeria,DZA,Electricity net generation,CC.ELEC.GEN,76.685
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..
American Samoa,ASM,Electricity net consumption,CC.ELEC.CON,0.151
American Samoa,ASM,Electricity net generation,CC.ELEC.GEN,0.163
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Andorra,AND,Electricity net consumption,CC.ELEC.CON,..
Andorra,AND,Electricity net generation,CC.ELEC.GEN,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.6427993774414
Angola,AGO,Electricity net consumption,CC.ELEC.CON,11.815
Angola,AGO,Electricity net generation,CC.ELEC.GEN,13.556
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Antigua and Barbuda,ATG,Electricity net consumption,CC.ELEC.CON,0.278
Antigua and Barbuda,ATG,Electricity net generation,CC.ELEC.GEN,0.343
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,Electricity net consumption,CC.ELEC.CON,122.08889
Argentina,ARG,Electricity net generation,CC.ELEC.GEN,132.26389
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Armenia,ARM,Electricity net consumption,CC.ELEC.CON,5.75847
Armenia,ARM,Electricity net generation,CC.ELEC.GEN,7.26447
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Aruba,ABW,Electricity net consumption,CC.ELEC.CON,0.90944216
Aruba,ABW,Electricity net generation,CC.ELEC.GEN,0.919712
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,Electricity net consumption,CC.ELEC.CON,237.388272
Australia,AUS,Electricity net generation,CC.ELEC.GEN,249.99605
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Austria,AUT,Electricity net consumption,CC.ELEC.CON,68.499332
Austria,AUT,Electricity net generation,CC.ELEC.GEN,68.67575
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,Electricity net consumption,CC.ELEC.CON,21.02663
Azerbaijan,AZE,Electricity net generation,CC.ELEC.GEN,24.60663
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,Electricity net consumption,CC.ELEC.CON,2.10324849
"Bahamas, The",BHS,Electricity net generation,CC.ELEC.GEN,2.103493
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,Electricity net consumption,CC.ELEC.CON,31.03825
Bahrain,BHR,Electricity net generation,CC.ELEC.GEN,31.44425
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.1999969482422
Bangladesh,BGD,Electricity net consumption,CC.ELEC.CON,76.849877
Bangladesh,BGD,Electricity net generation,CC.ELEC.GEN,79.600877
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Barbados,BRB,Electricity net consumption,CC.ELEC.CON,1
Barbados,BRB,Electricity net generation,CC.ELEC.GEN,1.02
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,Electricity net consumption,CC.ELEC.CON,32.6655
Belarus,BLR,Electricity net generation,CC.ELEC.GEN,37.7155
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,Electricity net consumption,CC.ELEC.CON,83.503095
Belgium,BEL,Electricity net generation,CC.ELEC.GEN,88.948
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.7200012207031
Belize,BLZ,Electricity net consumption,CC.ELEC.CON,0.992305
Belize,BLZ,Electricity net generation,CC.ELEC.GEN,0.832605
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.3286895751953
Benin,BEN,Electricity net consumption,CC.ELEC.CON,0.9297
Benin,BEN,Electricity net generation,CC.ELEC.GEN,0.2017
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bermuda,BMU,Electricity net consumption,CC.ELEC.CON,0.533434
Bermuda,BMU,Electricity net generation,CC.ELEC.GEN,0.574434
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bhutan,BTN,Electricity net consumption,CC.ELEC.CON,4.31489
Bhutan,BTN,Electricity net generation,CC.ELEC.GEN,8.95204
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.0800018310547
Bolivia,BOL,Electricity net consumption,CC.ELEC.CON,8.75669
Bolivia,BOL,Electricity net generation,CC.ELEC.GEN,9.98369
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bosnia and Herzegovina,BIH,Electricity net consumption,CC.ELEC.CON,11.65745
Bosnia and Herzegovina,BIH,Electricity net generation,CC.ELEC.GEN,16.65445
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.9597396850586
Botswana,BWA,Electricity net consumption,CC.ELEC.CON,3.5159
Botswana,BWA,Electricity net generation,CC.ELEC.GEN,3.0459
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8000030517578
Brazil,BRA,Electricity net consumption,CC.ELEC.CON,533.85178
Brazil,BRA,Electricity net generation,CC.ELEC.GEN,614.54178
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
British Virgin Islands,VGB,Electricity net consumption,CC.ELEC.CON,0.116298
British Virgin Islands,VGB,Electricity net generation,CC.ELEC.GEN,0.138798
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Brunei Darussalam,BRN,Electricity net consumption,CC.ELEC.CON,4.14014
Brunei Darussalam,BRN,Electricity net generation,CC.ELEC.GEN,4.63714
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bulgaria,BGR,Electricity net consumption,CC.ELEC.CON,30.90517
Bulgaria,BGR,Electricity net generation,CC.ELEC.GEN,39.48217
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.3748550415039
Burkina Faso,BFA,Electricity net consumption,CC.ELEC.CON,2.03352
Burkina Faso,BFA,Electricity net generation,CC.ELEC.GEN,1.68152
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.3565282821655
Burundi,BDI,Electricity net consumption,CC.ELEC.CON,0.440774
Burundi,BDI,Electricity net generation,CC.ELEC.GEN,0.356734
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4000015258789
Cabo Verde,CPV,Electricity net consumption,CC.ELEC.CON,0.43685362
Cabo Verde,CPV,Electricity net generation,CC.ELEC.GEN,0.469
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,84
Cambodia,KHM,Electricity net consumption,CC.ELEC.CON,10.28834
Cambodia,KHM,Electricity net generation,CC.ELEC.GEN,8.41234
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,63.4898796081543
Cameroon,CMR,Electricity net consumption,CC.ELEC.CON,6.50884
Cameroon,CMR,Electricity net generation,CC.ELEC.GEN,8.35384
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Canada,CAN,Electricity net consumption,CC.ELEC.CON,552.622179
Canada,CAN,Electricity net generation,CC.ELEC.GEN,633.43403
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Cayman Islands,CYM,Electricity net consumption,CC.ELEC.CON,0.655165
