Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.9,3.47343683242798,5.42734336853027,7.37853050231934,9.32631778717041,14.5,13.2088918685913,15.1311712265015,17.0330848693848,18.9274139404297,16,22.7027149200439,24.5883865356445,26.4759292602539,28.3679943084717,30.2672901153564,23,19.2000007629395,36.0356559753418,37.990966796875,39.9661064147949,36,41.5999984741211,53.0999984741211,55.9764099121094,61.2845726013184,69.6999969482422
Kenya,KEN,Electricity net consumption,CC.ELEC.CON,3.28507,3.311,3.455,3.604,3.61,3.736,3.455,3.397,3.848,3.937,4.228,4.569,4.7506,5.161,5.448,5.363,5.524,6.06178,6.25486,6.5314,7.15544,7.57298,8.151,7.317,8.501,9.266554,8.243
Kenya,KEN,Electricity net generation,CC.ELEC.GEN,3.57807,3.616,4.035,4.218,4.414,4.535,4.314,4.054,4.593,4.752,5.098,5.453,5.862,6.324,6.53,6.417,6.581,7.24178,7.58886,8.0274,8.70344,9.15798,9.771,9.12,10.598,11.576554,10.706
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,0.533898532390594,6.8,2.81110429763794,3.94494771957397,5.07471179962158,6.19963407516479,7.35113048553467,8.60000038146973,7.80000019073486,10.5635538101196,11.6254568099976,8.89999961853027,9,14.8178224563599,15.8928136825562,10,12.1000003814697,14.6000003814697,20.3192710876465,13.8999996185303,20.3999996185303,18.5,26.7000007629395,32.5211524963379,41.9199981689453,41.2999992370605
Uganda,UGA,Electricity net consumption,CC.ELEC.CON,0.785296,0.822545,0.856857,0.924768,1.04843,0.99838,0.99652,0.962,0.88,0.868,1.091,0.871,1.191,1.0325572,1.319,1.500632,1.526959,2.10561,2.02912,1.3574,2.00983,2.15985,2.34083,2.85992,2.71405,3.1858,4.20704
Uganda,UGA,Electricity net generation,CC.ELEC.GEN,0.967,1.007,1.045,1.118,1.251,1.266,1.264,1.587,1.583,1.712,1.8,1.937,1.953,1.5705572,1.964,2.314,2.399,2.84561,2.73912,2.1174,2.78383,2.92855,3.00893,3.88362,4.01765,4.3638,5.55904
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,1.02783596515656,2.17412757873535,3.31557703018188,6.19999980926514,4.57231616973877,5.93285799026489,7.2881646156311,8.64058494567871,4.80000019073486,11.3462257385254,12.7045030593872,6,15.4454612731934,9.69999980926514,10.8000001907349,17.5,15.1999998092651,19.7999992370605,22.7999992370605,29.3700008392334,34.0999984741211,36.9681510925293,40.3686065673828
Rwanda,RWA,Electricity net consumption,CC.ELEC.CON,0.15501,0.1598,0.15966,0.15092,0.16952,0.22152,0.18083,0.20002,0.2056125,0.221021875,0.2296,0.19956,0.19309,0.21173,0.230056,0.253306,0.282386,0.332766,0.370246,0.39974,0.44041,0.52872,0.62597,0.75517,0.85345,0.83095,1.0073
Rwanda,RWA,Electricity net generation,CC.ELEC.GEN,0.157,0.16,0.162,0.144,0.164,0.164,0.131,0.114,0.091,0.1,0.12,0.092,0.113,0.161,0.1592,0.1842,0.2402,0.27482,0.31738,0.3354,0.37748,0.4752,0.5823,0.72966,0.82426,0.88145,1.05984
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,6.69999980926514,7.31436443328857,7.91584491729736,8.51208972930908,9.10544872283936,6,10.2929649353027,15.1999998092651,11.4986276626587,12.1150150299072,12.7440509796143,13.3884449005127,15.3999996185303,14.7332000732422,13.5,16.1482429504395,17.0418376922607,17.9165096282959,18.5682907104492,19.1000003814697
