Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Afghanistan,AFG,22.3,23,22.7,22.6,22.8,22.8,22.8,22.7,22.9,22.1,22.1,21.9,21.3,21.6,21.9,22.5,23.3,23.8,22.7,24.8
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Africa Eastern and Southern,AFE,43.5481622740118,42.5022481487281,42.9673972588785,43.2574975869952,42.9001811386182,42.0326760037129,42.0641191334714,40.5464570523525,40.0592324931081,40.4683582373235,40.3190374838471,40.1833143160827,40.3591889651117,39.6738089297345,40.2707932733269,40.6869574496801,41.448811468201,41.4155911353594,41.4830598484301,42.0689767965925
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Africa Western and Central,AFW,38.0412200242754,38.2560905524259,38.4878027157243,38.2832414694339,37.3671228378951,37.016465428894,36.4486774962562,36.0014699591808,35.5994817856837,35.8382459999931,35.9021225062415,34.2799418322026,33.551024306328,33.5633579239763,33.6496264400504,33.4615159197962,33.6558677313628,33.6768264827314,33.736476528061,33.8984532125786
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Albania,ALB,22.4,22.5,22.5,22.7,22.9,23.2,22.5,22.6,22,21.7,20.9,18.5,21.2,21.4,20.9,20.8,21,17.4,16.7,17.6
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Algeria,DZA,31.2,31.3,31.4,31,30.7,30.1,30.2,30.4,30.5,30.5,30.1,30.1,28.8,28.4,28.5,28.5,28.3,28.2,28.1,28.1
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Angola,AGO,27.9,28.4,29,28.3,29.8,29.6,28.3,30.2,29.3,33.7,31.4,32.1,29.1,27.9,29.1,29.8,31.8,33.3,34.4,34.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Antigua and Barbuda,ATG,16.3,25.6,5.4,21.4,5.3,0,3.2,11.7,22.1,9,8.1,15,0,2.3,0,0,0,0,0,0
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Arab World,ARB,27.7994673619901,27.4574364257944,27.9243346086221,28.6283498267362,28.4171703836662,28.5055916610463,28.5005910741597,29.3340634138345,29.6723628306249,29.3756598050947,29.4666019844772,28.9636396775942,27.7021951048998,27.4626317848022,28.654821749186,28.705535987953,28.7673439646576,28.2465131207724,28.5883531437591,28.649943615078
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Argentina,ARG,18.1,18.5,15.9,14.7,16.8,18.4,20.3,22.2,23.7,21.5,20.8,22.2,21.2,23.4,21.6,22.5,22.2,22.3,22,22.1
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Armenia,ARM,32.2,29.7,28.3,28.9,28.4,28.6,26.6,24.8,29.8,29.1,27.7,28.6,29.6,27.9,26.7,27.3,22.9,25.2,33.6,30.4
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Australia,AUS,14,13.6,13.2,12.3,11.9,12.2,11.9,11.5,10.5,10.3,9.6,8.7,8.4,7.5,7.7,7.5,8.1,7.7,7.1,7.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Austria,AUT,19.3,18.5,18,17.5,17.1,14.7,13.5,13,12.7,12.1,10.2,9.4,9.7,8.5,7.7,8.5,7.4,7.5,7.5,7.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Azerbaijan,AZE,13.1,16,16.2,23.1,17.1,22.2,21.2,21.8,21.2,18.5,18.2,19.9,22.6,22.3,21.3,16.6,13.9,13.6,13,10.8
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,"Bahamas, The",BHS,40,32.7,27.8,20.6,25.3,33.2,23.6,25.1,23.5,26.6,20.6,20.8,20.4,22.4,13,13.3,13.2,14,13.2,12.5
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bahrain,BHR,16.3,24.3,26.5,22.6,22,21.9,30.4,22.2,18.9,18.7,14.8,13.3,13,13.4,10.2,10.5,9.7,8.6,7.9,7.2
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bangladesh,BGD,16.3,18.2,20.3,22.6,24.9,26.7,26.5,26.3,26.7,27.3,27.5,27.6,26,26.3,26.6,26.5,26.5,26.3,26.2,25.9
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Barbados,BRB,26.5,16.1,21.1,21.4,30.7,15.6,12.8,15.5,9.1,16.2,15.1,16.5,21,23.4,12.8,20.3,8.5,12.9,12.7,12.6
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Belarus,BLR,28.3,28.6,41.8,43.2,36.9,35.7,35.6,37.7,38.8,31.5,35.6,30.1,25.1,21.5,18.2,15.8,13.9,13.9,13,11.9
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Belgium,BEL,24.8,24,20.8,18.2,18,16.5,16.1,17.4,14.8,14.5,12.5,12.7,11.1,10.5,10.4,10,8.8,8.3,8.1,8.6
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Belize,BLZ,48.2,61.3,58.4,50.8,37.8,57.4,46.1,52.3,55.2,27.4,22.6,29.6,34.8,35.9,40.3,42.5,47.7,32.9,38,38.2
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Benin,BEN,40,40.2,40.3,39.7,39.1,40.3,39.2,38.5,38.5,39,39.4,39.2,38.1,37.4,37.6,37.9,38,37.5,37.4,37.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bhutan,BTN,15,15.4,15.7,16.3,17.4,17.9,18.1,17.8,20.5,18.4,18.4,22.8,20.9,16.2,16.2,20.7,25.8,21.5,21.8,22.1
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bolivia,BOL,19.9,20.4,20.8,20.8,20.7,20.7,28.7,20.6,23.6,22.8,23.7,24.2,31.8,32.6,27.6,26.1,21.3,28.3,28.8,29.4
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bosnia and Herzegovina,BIH,28.2,28,27.8,27.9,27.6,27.9,27.4,27.6,27.3,27.1,26.7,23.6,24.9,24.7,24.9,25.4,26,24.9,22.6,21.4
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Botswana,BWA,52.6,51,49,51.5,47.7,38.9,38.3,39,35,34.7,34.4,33.3,29.3,28.7,32.9,33.4,33.2,33.5,34.5,35.6
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Brazil,BRA,32,32.9,34.7,34.2,36.3,36.5,35.8,37.2,37.1,36.5,40,40.6,41,38.4,39.2,34.6,33.2,31.1,28.9,26.9
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Brunei Darussalam,BRN,25,30.1,22.9,12.8,18.3,21.3,17.9,25.2,15.7,16.9,11.5,16.7,12.6,14.7,12.2,13.3,14.4,12.5,12.4,12.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Bulgaria,BGR,19.9,20.4,19.1,19.3,19.6,19.8,21.3,22.1,23.5,19.7,17.1,14.3,13.7,13.6,14.7,16.2,16.6,15,13.8,14.5
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Burkina Faso,BFA,35.5,35.9,35.9,36.7,37.3,37.5,38,38.5,38.7,38.8,39.7,39.5,39.2,39.5,40.2,40.3,40.3,40.5,40.5,40.8
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Burundi,BDI,42,41.9,40.6,41.5,41.6,42.2,45.3,45.9,45.9,46,46.1,45.9,47,46.9,46.5,48,48.8,49,49.2,49.7
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Cabo Verde,CPV,35.5,36.8,37.1,38.2,38.1,38,36.7,36.4,35.7,36.3,37.1,36.9,36.8,37.5,38.3,39.2,39.8,40.7,41.5,42.4
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Cambodia,KHM,25.6,25.4,25.5,25.7,25.9,26.5,26.7,26.2,26.8,27.2,27.5,27.4,26,26.2,26.5,26.6,27.2,28.1,28.9,29.8
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Cameroon,CMR,43.1,43.4,43.3,42.8,43.6,44.5,44.4,44.5,45.1,45.3,45.8,45.9,45.4,45.5,45.9,46.1,46.6,46.9,47.4,47.9
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Canada,CAN,13.4,12.8,13.2,12.5,12.6,13,12.3,12.7,11.3,10.1,10.1,9,9.3,8.5,8.3,8.3,8,7.8,7.5,7.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Caribbean small states,CSS,36.0902791559672,31.5282453299477,32.0692063049,32.8179059445346,35.8865873836846,36.186535573133,34.511385230343,37.7368698570185,30.3230561670892,27.1720424930142,22.8534047942925,30.7334767030851,25.1573608074085,26.7164567118151,28.4553638892349,27.0602195241747,29.342775381102,26.4247933224002,27.2340318057359,27.3696338730036
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Central African Republic,CAF,42,41.8,41.6,42.5,42.9,42.6,41.9,41.3,41,40.7,40.6,40.4,39.6,45.1,45.8,46.2,46.7,48.4,49.5,52
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Central Europe and the Baltics,CEB,25.1837507808208,23.8219451607009,24.1921283835938,23.9522955959773,24.0836144068476,23.452097052561,23.0300234108149,24.128493511984,23.725391457954,19.2115164946504,17.191386297071,16.8669925533748,15.4507366938491,14.3043882849758,14.3973623326183,14.1223777612201,13.9483292215301,13.2615585513055,13.2312602934299,13.2372261226057
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Chad,TCD,35.7,35.2,35,35,33.2,32.8,32.3,32.3,32.8,32.8,32.5,32.8,31.5,31.9,32.8,34.1,36.4,38.4,40.8,43.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Chile,CHL,29.5,26.4,26.7,29.8,29.6,29.2,29.7,22,22.9,20.1,20.1,19.7,18.6,19.9,19.8,19.4,19.4,22.7,21.8,23.6
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,China,CHN,29.9,30.8,31.6,30.7,29.9,30.3,30.2,30.5,30.1,30,29.7,30.2,29.7,28.7,27.6,26.8,26.4,26,25.7,25.3
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Colombia,COL,32.3,32.1,30.6,27.4,28,27.2,27.9,29.2,29.3,28.7,26.4,25.7,27.4,27.5,27.6,29.7,30.6,28.5,27.1,25.7
